id	average	total
tt0072308	7.0	43182
tt0053137	7.1	12950
tt0050419	7.0	29880
tt0031983	6.9	2570
tt0071877	7.3	61607
tt0117057	6.6	19872
tt0037382	7.8	34221
tt0038355	7.9	84582
tt0054452	7.6	3808
tt0057345	7.5	31543
tt0049189	6.3	8350
tt0056404	5.4	623
tt0072562	8.0	47921
tt0078723	5.8	33454
tt0080455	7.9	195800
tt0077975	7.4	119490
tt0060827	8.1	115595
tt0050976	8.1	181771
tt0050986	8.1	105658
tt0083922	8.1	63169
tt0077711	8.1	33695
tt0038109	7.5	48052
tt0036855	7.8	28282
tt0034583	8.5	559393
tt0042593	7.9	30986
tt0043265	7.7	77846
tt0034583	8.5	559393
tt0037382	7.8	34221
tt0047296	8.1	152737
tt0078788	8.5	650928
tt0070849	6.9	53374
tt0068646	9.2	1781216
tt0057877	7.8	14635
tt0059749	7.6	16955
tt0061184	8.0	74429
tt0087803	7.1	71548
tt0031867	7.9	13899
tt0042041	8.1	32455
tt0035575	7.6	15407
tt0029870	7.9	21403
tt0034167	7.7	18162
tt0035896	6.8	9284
tt0044706	8.0	103133
tt0027996	7.8	21367
tt0035140	7.9	16818
tt0042192	8.2	129585
tt0031210	7.5	11072
tt0056687	8.0	54987
tt0048317	7.1	4226
tt0045591	7.2	9891
tt0053172	7.4	17219
tt0049470	7.4	63833
tt0040806	7.6	7628
tt0029843	7.9	50617
tt0041452	8.1	15685
tt0031381	8.2	310164
tt0049261	7.6	38264
tt0048545	7.7	89439
tt0048028	7.8	44976
tt0039123	8.2	188
tt0069946	6.0	3156
tt8847712	7.2	104896
tt0096320	6.1	122931
tt0091763	8.1	406615
tt0021156	7.0	6663
tt0055031	8.3	76263
tt0052311	8.0	103480
tt0051201	8.4	122088
tt0080736	6.6	23652
tt0054331	7.9	133203
tt0049456	7.3	11640
tt0043338	8.1	35360
tt0050783	8.1	48310
tt0056801	8.0	116418
tt0053779	8.0	72034
tt0071129	7.9	43120
tt0050083	9.0	763788
tt0032551	8.1	91628
tt0051207	7.4	28189
tt0082846	7.6	31130
